System trademark and model                   	MW41
Software version                             	MW41 2.4.0
NATO format sounding ID                      	202101150106-FY
Balloon release date                         	15/01/21
Balloon release time                         	13:06:04
Release point latitude                       	22.59797°N
Release point longitude                      	101.11654°E
Release point ellipsoid height               	1697 m
Release point height from sea level          	1693 m
Surface pressure                             	828.6 hPa
Surface temperature                          	12.0 °C
Surface relative humidity                    	84 %
Surface wind speed                           	1.0 m/s
Surface wind direction                       	152°
Sonde type                                   	RS92-SGP
Sonde serial number                          	M2213440
Comments                                     	


   n Elapsed time    Pm  Temp RH Ncomp Ecomp HeightMSL  Dewp MixR Dir Speed CompAz CompRng    Lat     Lon HeightE
                s   hPa    °C  %   m/s   m/s         m    °C g/kg   °   m/s      °       m      °       °       m
  97          192 774.6   8.5 84   4.2   4.5      2255   6.0 7.56 227   6.1     27     898 22.605 101.120    2174
  98          194 774.1   8.4 84   4.2   4.6      2260   5.8 7.49 227   6.2     27     909 22.605 101.121    2179
  99          196 773.5   8.4 84   4.2   4.6      2266   5.8 7.48 228   6.3     27     921 22.605 101.121    2186
 100          198 772.9   8.3 84   4.2   4.7      2272   5.8 7.50 228   6.3     27     935 22.605 101.121    2191
 101          200 772.4   8.3 85   4.2   4.8      2278   5.9 7.52 229   6.4     28     946 22.606 101.121    2194
 102          202 771.8   8.2 85   4.1   4.9      2285   5.9 7.54 230   6.4     28     956 22.606 101.121    2199
 103          204 771.2   8.2 85   4.1   5.0      2291   5.9 7.55 230   6.5     28     968 22.606 101.121    2206
 104          206 770.6   8.1 86   4.1   5.1      2297   5.9 7.55 231   6.5     29     980 22.606 101.121    2212
 105          208 770.1   8.1 86   4.0   5.2      2303   5.9 7.54 232   6.6     29     994 22.606 101.121    2215
 106          210 769.5   8.0 86   4.0   5.3      2310   5.9 7.54 233   6.6     29    1008 22.606 101.121    2223
 107          212 768.8   8.0 86   3.9   5.5      2317   5.9 7.54 235   6.7     30    1019 22.606 101.121    2233
 108          214 768.1   7.9 87   3.8   5.7      2324   5.8 7.54 236   6.8     30    1030 22.606 101.122    2241
 109          216 767.4   7.9 87   3.7   5.8      2332   5.8 7.54 237   6.9     30    1043 22.606 101.122    2247
 110          218 766.8   7.9 87   3.7   6.0      2339   5.8 7.53 239   7.1     30    1055 22.606 101.122    2252
 111          220 766.1   7.8 87   3.6   6.2      2346   5.7 7.51 240   7.2     31    1068 22.606 101.122    2257
 112          222 765.5   7.8 87   3.5   6.4      2352   5.7 7.50 242   7.3     31    1082 22.606 101.122    2266
 113          224 764.9   7.7 87   3.4   6.6      2359   5.7 7.49 243   7.4     32    1094 22.606 101.122    2273
 114          226 764.3   7.7 87   3.3   6.8      2366   5.7 7.48 244   7.5     32    1108 22.606 101.122    2276
 115          228 763.6   7.7 86   3.2   6.9      2372   5.6 7.45 245   7.6     33    1122 22.607 101.122    2282
 116          230 763.0   7.7 86   3.1   7.1      2379   5.5 7.42 246   7.8     33    1136 22.607 101.123    2289
 117          232 762.5   7.7 86   3.0   7.3      2385   5.5 7.40 247   7.9     34    1149 22.607 101.123    2296
 118          234 761.9   7.7 86   3.0   7.4      2391   5.4 7.38 248   8.0     34    1164 22.607 101.123    2303
 119          236 761.4   7.6 85   2.9   7.5      2397   5.4 7.35 249   8.0     34    1177 22.607 101.123    2312
 120          238 760.8   7.6 85   2.8   7.6      2403   5.3 7.33 249   8.1     35    1188 22.607 101.123    2319
 121          240 760.3   7.6 85   2.8   7.6      2409   5.3 7.32 250   8.1     35    1201 22.607 101.123    2323
 122          242 759.7   7.5 86   2.8   7.7      2415   5.2 7.30 250   8.2     36    1215 22.607 101.123    2328
 123          244 759.1   7.4 86   2.7   7.7      2421   5.2 7.29 250   8.2     36    1229 22.607 101.124    2335
 124          246 758.5   7.4 86   2.7   7.8      2428   5.1 7.27 251   8.2     37    1242 22.607 101.124    2342
 125          248 757.9   7.4 85   2.7   7.8      2435   5.1 7.23 251   8.2     37    1254 22.607 101.124    2347
 126          250 757.3   7.3 85   2.7   7.8      2441   5.0 7.19 251   8.3     37    1268 22.607 101.124    2355
 127          252 756.9   7.3 85   2.7   7.9      2446   4.9 7.16 251   8.3     38    1284 22.607 101.124    2364
 128          254 756.3   7.3 84   2.7   7.9      2452   4.8 7.12 251   8.4     38    1299 22.607 101.124    2371
 129          256 755.7   7.2 84   2.7   8.0      2459   4.7 7.07 251   8.4     39    1314 22.607 101.125    2374
 130          258 755.1   7.2 84   2.7   8.0      2466   4.7 7.07 252   8.5     39    1329 22.607 101.125    2379
 131          260 754.5   7.1 84   2.6   8.1      2472   4.7 7.06 252   8.5     40    1344 22.607 101.125    2389
 132          262 754.0   7.1 84   2.6   8.2      2478   4.6 7.03 252   8.6     40    1357 22.607 101.125    2398
 133          264 753.4   7.1 84   2.6   8.3      2483   4.5 6.99 253   8.7     40    1372 22.607 101.125    2402
 134          266 752.9   7.0 83   2.6   8.4      2489   4.3 6.88 253   8.8     41    1388 22.607 101.125    2405
 135          268 752.4   7.0 82   2.6   8.5      2495   4.1 6.82 253   8.8     41    1402 22.608 101.125    2412
 136          270 751.8   6.9 83   2.5   8.5      2501   4.3 6.88 253   8.9     42    1415 22.608 101.126    2420
 137          272 751.2   6.8 84   2.5   8.6      2508   4.3 6.89 254   9.0     42    1428 22.608 101.126    2424
 138          274 750.7   6.8 84   2.5   8.7      2514   4.2 6.86 254   9.1     42    1446 22.608 101.126    2430
 139          276 750.2   6.7 84   2.5   8.8      2519   4.2 6.85 254   9.1     43    1462 22.608 101.126    2438
 140          278 749.6   6.8 83   2.5   8.9      2525   4.0 6.78 254   9.2     43    1478 22.608 101.126    2445
 141          280 749.1   6.8 81   2.5   8.9      2531   3.8 6.67 254   9.3     43    1495 22.608 101.127    2454
 142          282 748.4   6.7 81   2.5   9.0      2538   3.7 6.62 255   9.3     44    1510 22.608 101.127    2460
 143          284 747.9   6.7 81   2.5   9.0      2545   3.7 6.63 255   9.4     44    1524 22.608 101.127    2465
 144          286 747.4   6.6 81   2.5   9.1      2550   3.7 6.63 255   9.4     44    1541 22.608 101.127    2471
 145          288 746.8   6.6 81   2.5   9.1      2556   3.6 6.62 255   9.4     45    1558 22.608 101.127    2479
 146          290 746.3   6.5 82   2.5   9.1      2562   3.6 6.63 255   9.5     45    1576 22.608 101.127    2485
 147          292 745.8   6.5 82   2.5   9.2      2567   3.6 6.64 255   9.5     46    1592 22.608 101.128    2491
 148          294 745.2   6.4 82   2.5   9.2      2573   3.6 6.65 255   9.5     46    1610 22.608 101.128    2496
 149          296 744.6   6.4 83   2.5   9.2      2580   3.6 6.64 255   9.5     46    1627 22.608 101.128    2503
 150          298 744.1   6.3 83   2.6   9.2      2586   3.6 6.63 254   9.5     46    1644 22.608 101.128    2511
 151          300 743.6   6.3 83   2.6   9.2      2591   3.6 6.62 254   9.5     47    1659 22.608 101.128    2516
 152          302 743.2   6.2 83   2.6   9.2      2596   3.5 6.59 254   9.5     47    1674 22.608 101.128    2522
 153          304 742.6   6.1 82   2.6   9.2      2602   3.3 6.50 254   9.5     47    1693 22.608 101.129    2527
 154          306 742.1   6.1 82   2.6   9.1      2608   3.3 6.49 254   9.5     48    1714 22.608 101.129    2532
